produto;valor_unitario;quantidade;data_venda;codigo_venda;id_loja
Monitor;370.38;4;2024-08-07;VND100000;103
Mouse;2029.15;3;2024-10-07;VND100001;104
Impressora;2989.14;4;2024-09-20;VND100002;101
Headset;4495.25;3;2024-11-22;VND100003;102
Webcam;1523.26;3;2024-11-17;VND100004;102
Mouse;2545.15;9;2024-05-23;VND100005;101
Impressora;4650.3;3;2025-02-22;VND100006;103
Monitor;1763.96;3;2024-08-11;VND100007;101
Notebook;4759.3;2;2024-08-04;VND100008;102
Pendrive;3581.71;8;2024-10-09;VND100009;103
Webcam;889.39;4;2024-03-30;VND100010;104
Headset;389.34;1;2024-05-12;VND100011;105
Notebook;152.84;6;2024-04-15;VND100012;103
Impressora;732.93;3;2024-12-06;VND100013;103
Mesa Escritório;4816.09;1;2024-04-24;VND100014;105
Monitor;3953.46;4;2024-07-14;VND100015;102
Headset;4716.41;2;2024-07-06;VND100016;104
Impressora;4498.3;1;2024-07-11;VND100017;102
Impressora;4666.19;4;2024-07-09;VND100018;101
Cadeira Gamer;1838.57;1;2024-09-02;VND100019;103
Mesa Escritório;1092.06;3;2024-09-20;VND100020;105
Impressora;2650.19;10;2025-02-28;VND100021;101
Notebook;3943.82;2;2024-08-25;VND100022;104
Mesa Escritório;2418.83;5;2024-09-02;VND100023;105
Headset;326.18;2;2024-12-24;VND100024;105
Mesa Escritório;2453.8;2;2024-10-03;VND100025;104
Mouse;3361.26;1;2024-07-02;VND100026;102
Teclado;1578.19;10;2024-04-26;VND100027;103
Teclado;2617.47;5;2025-01-28;VND100028;105
Webcam;217.31;1;2025-01-31;VND100029;102
Monitor;993.71;4;2024-09-07;VND100030;105
Mesa Escritório;3638.08;2;2024-12-21;VND100031;103
Impressora;1533.95;1;2024-05-29;VND100032;103
Notebook;965.95;5;2024-06-22;VND100033;104
Pendrive;550.3;7;2024-11-11;VND100034;105
Impressora;2278.71;4;2024-10-17;VND100035;101
Mesa Escritório;4445.15;7;2024-05-03;VND100036;102
Webcam;4757.93;6;2025-01-08;VND100037;103
Mesa Escritório;3335.03;6;2024-09-29;VND100038;105
Cadeira Gamer;4246.88;10;2024-04-06;VND100039;104
Monitor;1807.99;1;2024-12-13;VND100040;105
Headset;2945.67;7;2024-09-18;VND100041;105
Webcam;2040.81;6;2025-03-11;VND100042;102
Teclado;3506.39;10;2024-09-29;VND100043;105
Cadeira Gamer;4680.98;1;2024-05-24;VND100044;102
Headset;2685.48;8;2024-10-23;VND100045;102
Impressora;1267.43;5;2024-12-01;VND100046;104
Mouse;708.5;4;2024-10-24;VND100047;105
Teclado;359.48;7;2024-10-25;VND100048;102
Mesa Escritório;4930.64;9;2024-05-15;VND100049;103
Mouse;1513.2;3;2024-05-01;VND100050;101
Pendrive;979.07;6;2024-11-27;VND100051;105
Mesa Escritório;2490.35;4;2025-01-13;VND100052;104
Webcam;1665.05;2;2024-09-22;VND100053;105
Impressora;1395.04;7;2024-11-04;VND100054;101
Headset;2082.23;2;2024-09-01;VND100055;104
Monitor;2178.1;5;2024-11-08;VND100056;103
Impressora;3219.76;6;2024-11-20;VND100057;105
Pendrive;2924.61;3;2024-08-18;VND100058;104
Mesa Escritório;2007.33;3;2025-02-03;VND100059;101
Pendrive;1475.0;8;2024-05-22;VND100060;104
Monitor;3812.05;10;2025-01-31;VND100061;101
Notebook;2179.08;8;2024-08-02;VND100062;102
Webcam;2789.57;5;2024-11-09;VND100063;102
Mesa Escritório;3198.91;10;2024-08-18;VND100064;104
Notebook;3445.94;1;2025-01-03;VND100065;104
Mouse;3068.09;6;2024-08-13;VND100066;103
Mesa Escritório;130.2;6;2024-07-24;VND100067;103
Monitor;2379.06;2;2024-08-27;VND100068;103
Notebook;4941.64;9;2024-07-19;VND100069;101
Monitor;3734.26;9;2024-07-12;VND100070;105
Teclado;3574.92;5;2025-02-11;VND100071;104
Headset;1693.07;3;2024-12-12;VND100072;103
Webcam;1717.17;7;2025-01-23;VND100073;104
Webcam;709.16;6;2025-02-21;VND100074;105
Monitor;737.78;7;2024-10-27;VND100075;103
Pendrive;2230.77;5;2024-04-02;VND100076;101
Teclado;572.79;4;2025-02-10;VND100077;103
Mesa Escritório;631.33;6;2024-06-09;VND100078;102
Mouse;2436.67;1;2024-06-13;VND100079;101
Cadeira Gamer;2231.93;5;2024-09-08;VND100080;105
Pendrive;4844.69;3;2024-04-23;VND100081;103
Headset;2844.41;6;2024-06-25;VND100082;102
Mouse;3009.3;10;2024-06-02;VND100083;103
Mesa Escritório;980.72;1;2024-11-19;VND100084;104
Pendrive;2546.67;4;2024-09-13;VND100085;102
Notebook;4164.47;8;2025-02-15;VND100086;105
Monitor;1097.55;4;2025-02-06;VND100087;104
Notebook;958.91;8;2024-03-24;VND100088;103
Monitor;3544.48;10;2024-11-09;VND100089;102
Impressora;637.91;4;2024-03-28;VND100090;102
Monitor;1443.53;7;2024-10-15;VND100091;103
Notebook;2178.36;3;2024-11-16;VND100092;104
Teclado;2325.67;6;2024-11-10;VND100093;101
Webcam;740.34;10;2024-05-23;VND100094;103
Webcam;1042.0;8;2025-01-23;VND100095;101
Teclado;4468.66;7;2025-01-01;VND100096;105
Pendrive;3221.61;7;2024-08-04;VND100097;105
Notebook;334.12;1;2024-07-11;VND100098;105
Impressora;3886.5;2;2024-08-29;VND100099;101
Impressora;264.45;9;2024-07-17;VND100100;102
Webcam;4126.63;4;2025-02-13;VND100101;104
Monitor;2888.65;2;2024-11-25;VND100102;103
Notebook;2168.13;6;2024-09-12;VND100103;105
Teclado;175.92;2;2024-11-12;VND100104;105
Cadeira Gamer;2896.05;9;2025-01-25;VND100105;105
Cadeira Gamer;4622.41;4;2024-08-27;VND100106;101
Headset;2488.38;7;2024-08-26;VND100107;105
Mesa Escritório;906.6;10;2024-11-24;VND100108;105
Teclado;4686.79;7;2024-09-15;VND100109;102
Notebook;231.55;6;2024-11-29;VND100110;105
Cadeira Gamer;2632.07;4;2024-12-23;VND100111;105
Cadeira Gamer;4973.09;5;2024-10-08;VND100112;101
Teclado;3761.04;4;2024-06-01;VND100113;103
Mouse;161.14;4;2024-10-24;VND100114;104
Mouse;4141.47;7;2024-08-04;VND100115;101
Impressora;2232.94;4;2024-03-20;VND100116;105
Monitor;425.06;3;2024-08-14;VND100117;101
Monitor;4987.96;1;2024-08-06;VND100118;104
Teclado;4318.25;7;2024-12-08;VND100119;102
Monitor;4250.04;9;2025-01-24;VND100120;105
Cadeira Gamer;2060.51;7;2024-07-27;VND100121;103
Cadeira Gamer;332.66;1;2024-08-08;VND100122;102
Headset;1390.56;5;2024-05-05;VND100123;105
Mouse;3881.66;1;2024-09-23;VND100124;104
Teclado;960.1;7;2024-12-21;VND100125;103
Impressora;2004.02;2;2025-02-19;VND100126;103
Mesa Escritório;238.73;5;2025-01-20;VND100127;103
Headset;2108.77;3;2024-12-28;VND100128;103
Mouse;103.13;3;2024-05-15;VND100129;101
Mouse;4184.8;3;2024-05-04;VND100130;103
Mouse;1832.4;2;2024-08-17;VND100131;103
Monitor;1889.55;8;2024-09-26;VND100132;104
Headset;4988.23;7;2025-03-16;VND100133;103
Webcam;1392.42;8;2025-02-23;VND100134;101
Pendrive;1418.76;7;2024-04-02;VND100135;104
Mouse;1383.77;7;2024-10-20;VND100136;105
Notebook;155.87;5;2024-11-21;VND100137;103
Mouse;2132.57;2;2024-10-08;VND100138;104
Webcam;1208.67;5;2024-08-07;VND100139;103
Mesa Escritório;4606.19;4;2024-07-10;VND100140;102
Pendrive;2419.96;7;2024-05-21;VND100141;101
Headset;3468.28;9;2025-01-05;VND100142;104
Headset;4884.3;7;2024-08-26;VND100143;105
Notebook;4617.49;3;2024-11-11;VND100144;105
Impressora;1113.38;8;2024-11-27;VND100145;101
